GraphID,riskBasedDefence,defenceInDepth,behavioralDefender,minCut,betweennessCentralityWithInDegreeNodes,betweennessCentralityWithAdjacentNodes,betweennessCentralityWithMarkovBlanket,betweennessCentralityWithMinCut,harmonicCentralityWithInDegreeNodes,harmonicCentralityWithAdjacentNodes,harmonicCentralityWithMarkovBlanket,harmonicCentralityWithMinCut,degreeCentralityWithInDegreeNodes,degreeCentralityWithAdjacentNodes,degreeCentralityWithMarkovBlanket,degreeCentralityWithMinCut,katzCentralityWithInDegreeNodes,katzCentralityWithAdjacentNodes,katzCentralityWithMarkovBlanket,katzCentralityWithMinCut,katzCentralityWithCognitiveProspectBasedInDegree,TRCentralityWithInDegreeNodes,TRCentralityWithAdjacentNodes,TRCentralityWithMarkovBlanket,TRCentralityWithMinCut,TRCentralityWithCognitiveProspectBasedInDegree,ABNRWithInDegreeNodes,ABNRWithAdjacentNodes,ABNRWithMarkovBlanket,ABNRWithMinCut,LossAverseRankWithInDegreeNodes
DER,28.47876200610554,26.838437105335817,27.898493693027298,25.552557837296337,71.36249681996343,58.38870821757941,43.59957783301667,24.806430575186877,61.56757107270925,44.834504787237954,28.228292510147167,18.917672593061415,71.56009187281653,52.98714448975485,35.78115836379278,22.244461344431947,77.44506365014252,60.01885051461354,43.8612611972613,25.93677320117956,77.43151234203066,75.61128008762516,57.417310525722975,40.420958692358354,24.092587136567975,75.5986547246962,73.8186295153238,56.43345707386449,39.251793349667565,23.44358320602203,80.2090159930427
HG2,33.097214260448794,34.07593697995562,33.13551833133461,47.961887834570746,41.914951246364396,32.418856374413494,29.25809714331478,54.9803934888316,65.4834845351645,54.21661236270366,44.623426652076354,59.56555464353712,62.91887811669012,50.45138293823976,41.806711272063026,56.46987571686637,63.53553118018797,52.8436258283944,44.09378717008939,56.11560428517966,64.11662688159782,64.8448897947764,53.35497543048972,44.09301386666687,56.86354613235406,65.45402103978392,62.93795814145754,50.659462170067314,42.04260826572416,57.50185048691581,57.88781990955799
e_commerce,30.514049616132876,26.838437105335817,28.94881152014027,39.65365617289212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.08070121920943,67.08070121920943,44.14412539818747,40.35140105409621,67.77874215844524,67.77874215844524,48.454465292239206,45.18624893746882,71.56130345703063,65.58308145638256,65.58308145638256,47.13199966490011,44.30573605881788,69.42352775683892,67.81168411612718,67.81168411612718,47.08600480092382,43.82076806257277,57.16214899461314
HG1,68.46066316913574,63.212055882855765,66.77508955590439,63.212055882855765,0.0,0.0,0.0,0.0,50.3754964977927,99.32620530009146,95.58731760270122,50.3754964977927,85.21465635247166,85.07697807658904,80.75830892415404,74.6679561476911,81.98655387017534,93.89155538392396,90.39018995184986,71.68857132096973,83.62725565384818,81.42311744910684,94.35290798734664,90.88877656462323,71.20461298370036,83.0675442549004,78.96262189095377,95.81214824794587,92.45376434028073,69.16223141694027,54.035975599463036
ABSNP,7.101860665468986,5.376994410735061,7.043262704518489,4.216772642866515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.583358167129097,7.583358167129097,7.010413712074559,1.7584726081597997,8.408237200988047,8.408237200988047,7.707674086004667,1.9596237528833735,10.155690038266506,6.675946653965899,6.675946653965899,6.229242672889719,1.5395750684747789,8.093380027626594,4.641913058837753,4.641913058837753,4.42298938595257,1.0576362551803271,0.09492545112561211
ASS2009,1.052372166901826,0.825100664636789,1.0044984412175728,3.405989243007675,2.293024064062585,1.8809138292284724,1.572690813263374,2.3183930518890197,2.406316399658966,1.211437813328778,0.8029743419607485,2.365545726142289,3.259576915877025,1.923313620363878,1.4140787581498226,3.1319966140864812,2.4369460577336732,1.4696339821242477,1.094083729937855,2.3767410564318427,2.637838232001995,2.6549752752146962,1.5227698329377253,1.140022394083438,2.5793644132018914,2.860271291588568,2.7539981241250158,1.6135573225889308,1.1963503756191782,2.679409796348074,1.3099516555125459
VOiP,31.722695226590886,24.852270692471393,31.466150553068452,37.77714604327061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.349520313981,71.349520313981,54.20524077634874,33.58324671847684,70.78842331482721,70.78842331482721,58.95060814393022,37.773941436951006,72.90188871893115,69.57282157676413,69.57282157676413,56.42260159282292,37.027180847982,71.66179926210613,71.62005109186742,71.62005109186742,57.213934953653954,36.78651708332102,70.89544988657369
AWS03,5.508268629728052,4.586915231481082,5.464722333435226,11.679325185894147,2.295618523090907,2.46266809301304,1.6944034998754784,1.8119812337353338,0.8428372016844784,0.6861785017237195,0.4777315975618898,0.9318003508021119,8.129892161555047,7.970784894134085,6.735343304493738,6.133061832342948,14.768374729348382,14.469665833201484,12.254796230720483,10.5732484151819,17.40422103923221,13.237852231090258,13.002903366773216,10.830552533860448,9.469326420382876,15.708902650882209,8.169103292574837,8.022454607849404,6.86416048863302,5.973983579440843,10.139070720299951
Figure3,84.61926807270896,63.212055882855765,79.18288129985895,43.207831702542194,62.46266615616429,75.73351488154091,65.65450566574548,55.91924234478377,65.89585753268713,77.10984597186943,66.79435448800318,54.345248886120466,75.36902871392716,62.09786277008904,54.7876795779278,50.55241410379777,70.34911676483782,54.846218756317185,49.62163827328258,47.85520632662543,82.57699968216811,73.51844260560677,58.213486806248596,51.909444434429396,49.336523784568456,84.89610163602508,75.8075899977319,69.38276950050547,60.33129982521164,53.37078962108702,43.987192966078624
ASFS3,0.8594402198927679,0.6941940808694815,0.8263454315145701,1.5024079050921597,1.5282012332552244,1.0124536125566752,0.7367269126496403,1.485347825958843,1.6096860957775072,1.0025418157828878,0.6088800686926087,1.030055064973418,1.7735044545162795,1.2824786740942582,0.7812648054291705,1.2471437458616588,1.8291463230227445,1.355395535113874,0.8348101703883525,1.2869698542212191,2.174948222694271,1.722688680842659,1.2924566111097946,0.7842255691716858,1.2574313346443664,2.0667485726016865,1.7271838300883142,1.1983362043783905,0.7500807375727979,1.2708792986879018,0.6477693512311551
SCADA,48.01234249671078,39.346934028736655,51.873098865340275,67.18311875105206,78.39209010548959,81.11243971624381,55.30508598546795,73.84439113200649,37.32768292101192,31.824088540916122,13.292703516094434,31.472775856975982,56.55364655484442,48.074126164910425,29.555007480736716,51.29405245378259,61.539868524821564,54.439078638179694,31.57557327594383,55.73111413770886,70.83646830489077,51.337850813595196,43.879088111312356,23.62231843356168,45.89800719131699,60.9981003396789,62.286681755218545,55.79814651519405,31.786395614533962,56.295934218342026,53.48465807572187
